Wavelength (nm),Averaged
1081.946,0.00343694
1081.942,0.003381281
1081.938,0.003347945
1081.934,0.003307653
1081.93,0.003279413
1081.926,0.003254584
1081.922,0.00322312
1081.918,0.003215502
1081.914,0.003163132
1081.91,0.003159315
1081.906,0.003140426
1081.902,0.00309131
1081.898,0.003068984
1081.894,0.003032689
1081.89,0.002977558
1081.886,0.002956808
1081.882,0.002901618
1081.878,0.002828473
1081.874,0.002777594
1081.87,0.00274776
1081.866,0.002707074
1081.862,0.002691941
1081.858,0.002632649
1081.854,0.0025943
1081.85,0.00259154
1081.846,0.0025567
1081.842,0.002552611
1081.838,0.0025412
1081.834,0.002524847
1081.83,0.002501259
1081.826,0.002477943
1081.822,0.002475795
1081.818,0.002447728
1081.814,0.002416748
1081.81,0.002380607
1081.806,0.002330929
1081.802,0.002311266
1081.798,0.002264391
1081.794,0.00220888
1081.79,0.00219501
1081.786,0.00215824
1081.782,0.002123275
1081.778,0.002104042
1081.774,0.002080654
1081.77,0.002069176
1081.766,0.002056318
1081.762,0.00204873
1081.758,0.002027693
1081.754,0.002029496
1081.75,0.00201412
1081.746,0.00200304
1081.742,0.001986845
1081.738,0.001971607
1081.734,0.001930029
1081.73,0.001914629
1081.726,0.001872785
1081.722,0.001851641
1081.718,0.001815848
1081.714,0.001789982
1081.71,0.001772297
1081.706,0.00175027
1081.702,0.001723838
1081.698,0.00171082
1081.694,0.001696749
1081.69,0.001687834
1081.686,0.001665743
1081.682,0.001650158
1081.678,0.001643937
1081.674,0.001638813
1081.67,0.001622492
1081.666,0.001630457
1081.662,0.001609311
1081.658,0.00160512
1081.654,0.001578281
1081.65,0.001562662
1081.646,0.001527085
1081.642,0.00149627
1081.638,0.001477154
1081.634,0.001470045
1081.63,0.001441687
1081.626,0.001434341
1081.622,0.001427498
1081.618,0.001389352
1081.614,0.001383243
1081.61,0.001368324
1081.606,0.00136956
1081.602,0.001356413
1081.598,0.001359967
1081.594,0.001345662
1081.59,0.001347344
1081.586,0.00133663
1081.582,0.001303936
1081.578,0.001305675
1081.574,0.00129364
1081.57,0.001272448
1081.566,0.001251529
1081.562,0.001244265
1081.558,0.001231177
1081.554,0.001200175
1081.55,0.001191688
1081.546,0.001165101
1081.542,0.001161415
1081.538,0.001142295
1081.534,0.00113441
1081.53,0.001146244
1081.526,0.001130774
1081.522,0.001122138
1081.518,0.001120442
1081.514,0.001115459
1081.51,0.001095534
1081.506,0.001114072
1081.502,0.001099009
1081.498,0.001081493
1081.494,0.00107432
1081.49,0.001051483
1081.486,0.00103406
1081.482,0.00102801
1081.478,0.001021156
1081.474,0.000997265
1081.47,0.000987797
1081.466,0.00099295
1081.462,0.00097187
1081.458,0.000952991
1081.454,0.000945803
1081.45,0.000944286
1081.446,0.0009406
1081.442,0.000947764
1081.438,0.000951441
1081.434,0.000934437
1081.43,0.000934498
1081.426,0.000930675
1081.422,0.000915637
1081.418,0.00089504
1081.414,0.000902364
1081.41,0.00088933
1081.406,0.000867125
1081.402,0.000867247
1081.398,0.000843433
1081.394,0.000830819
1081.39,0.000824229
1081.386,0.000833733
1081.382,0.000812014
1081.378,0.000807324
1081.374,0.000786258
1081.37,0.000790751
1081.366,0.000791106
1081.362,0.000796946
1081.358,0.000786296
1081.354,0.00077603
1081.35,0.00077662
1081.346,0.000781764
1081.342,0.000767454
1081.338,0.0007692
1081.334,0.000764642
1081.33,0.000748104
1081.326,0.00072896
1081.322,0.000731288
1081.318,0.000717717
1081.314,0.000698162
1081.31,0.000688834
1081.306,0.000696276
1081.302,0.000683044
1081.298,0.000688878
1081.294,0.00068227
1081.29,0.000668755
1081.286,0.000676502
1081.282,0.000654523
1081.278,0.000661458
1081.274,0.00065863
1081.27,0.000666882
1081.266,0.000669919
1081.262,0.000663292
1081.258,0.000633399
1081.254,0.000649372
1081.25,0.00063508
1081.246,0.000630002
1081.242,0.00061771
1081.238,0.000609483
1081.234,0.000598893
1081.23,0.000586242
1081.226,0.000583707
1081.222,0.000585662
1081.218,0.00057475
1081.214,0.000578103
1081.21,0.000577261
1081.206,0.000567136
1081.202,0.000556239
1081.198,0.000565052
1081.194,0.000570831
1081.19,0.000562228
1081.186,0.000562934
1081.182,0.000566488
1081.178,0.000553799
1081.174,0.000554754
1081.17,0.000544715
1081.166,0.000541068
1081.162,0.000523911
1081.158,0.00053114
1081.154,0.000508928
1081.15,0.000510029
1081.146,0.000490063
1081.142,0.000485829
1081.138,0.000498148
1081.134,0.00049918
1081.13,0.000489264
1081.126,0.0004854
1081.122,0.000492411
1081.118,0.000512944
1081.114,0.00048182
1081.11,0.000484071
1081.106,0.000478948
1081.102,0.00047926
1081.098,0.000482225
1081.094,0.00047719
1081.09,0.000456957
1081.086,0.000469804
1081.082,0.000456747
1081.078,0.000449306
1081.074,0.000441885
1081.07,0.000437873
1081.066,0.000431661
1081.062,0.00043896
1081.058,0.0004271
1081.054,0.000426056
1081.05,0.000418191
1081.046,0.000420344
1081.042,0.000435675
1081.038,0.00041436
1081.034,0.00040856
1081.03,0.000416468
1081.026,0.000407361
1081.022,0.000417276
1081.018,0.00040852
1081.014,0.000416833
1081.01,0.000399622
1081.006,0.000390633
1081.002,0.00038447
1080.998,0.000384518
1080.994,0.000374167
1080.99,0.000378653
1080.986,0.00036956
1080.982,0.000365544
1080.978,0.000354111
1080.974,0.000368217
1080.97,0.000364419
1080.966,0.000363201
1080.962,0.00036321
1080.958,0.00036871
1080.954,0.000366778
1080.95,0.000360048
1080.946,0.000353776
1080.942,0.000370807
1080.938,0.00034972
1080.934,0.000356441
1080.93,0.000351825
1080.926,0.000347145
1080.922,0.000338718
1080.918,0.000334264
1080.914,0.00033874
1080.91,0.000327196
1080.906,0.000327268
1080.902,0.000328723
1080.898,0.000329952
1080.894,0.000317206
1080.89,0.000320361
1080.886,0.00032641
1080.882,0.000322895
1080.878,0.00031472
1080.874,0.000303406
1080.87,0.00031898
1080.866,0.000307937
1080.862,0.00030408
1080.858,0.000311755
1080.854,0.00031143
1080.85,0.00030596
1080.846,0.000293563
1080.842,0.000286348
1080.838,0.000293588
1080.834,0.000298347
1080.83,0.000288934
1080.826,0.000279371
1080.822,0.000287887
1080.818,0.00027399
1080.814,0.000276348
